date,site_name,data_type,generation_source,solar_generation_mw,total_generation_mw,daily_energy_mwh,grid_export_mwh,physics_baseline_mw,physics_baseline_mwh,cuf_daily,pr_daily,specific_yield_kwh_kwp,soiling_loss_pct,inverter_availability_pct,ghi_w_m2,effective_irradiance,cloud_factor,cell_temperature_c,temperature_factor,performance_ratio,capacity_factor,solar_zenith,solar_elevation,solar_azimuth,air_mass,clear_sky_irradiance_kwh_m2_day,poa_irradiance_w_m2
2020-01-01,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,11085.40620696003,11085.40620696003,83140.55,82724.85,8388.69,48654.4,0.1732,0.4433,4.157,2.0,97.0,695.5172413793103,1.4908991666666667,0.3695833333333334,25.779696491091254,0.9972710622811806,0.82,0.1732,47.36369625327161,42.63630374672839,171.18570862274737,1.4744529770253596,4.027463654280151,911.9611905022999
2020-01-02,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15375.59,89178.42,0.3125,0.8126,7.5,2.29,100.0,719.3103448275863,3.0977099999999997,0.7424999999999999,27.575972988352216,0.9909840945407672,0.82,0.3125,47.29874520218392,42.70125479781608,171.0222906042884,1.472647242860691,4.03598602309186,913.6538807581956
2020-01-03,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,16858.182438816362,16858.182438816362,126436.37,125804.19,12284.22,71248.48,0.2634,0.6492,6.3218,2.57,100.0,730.8620689655172,2.2272412499999996,0.5254166666666666,31.408583281685743,0.9775699585140999,0.82,0.2634,47.22638270652552,42.77361729347448,170.85854832402254,1.4706428641878249,4.045128958954264,915.2714726018714
2020-01-04,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,14949.27,86705.77,0.3125,0.7901,7.5,2.86,100.0,747.9310344827586,3.8861250000000003,0.8958333333333334,35.426658335211016,0.9635066958267614,0.82,0.3125,47.14663502063288,42.85336497936712,170.6945684844552,1.468442917599308,4.05488774099308,917.0207767814798
2020-01-05,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,18643.158965267787,18643.158965267787,139823.69,139124.57,14841.38,86080.0,0.2913,0.7844,6.9912,3.14,100.0,734.3103448275863,3.7266250000000003,0.875,37.41350566680282,0.9565527301661901,0.82,0.2913,47.05953252059152,42.94046747940848,170.53043403948527,1.4660507981026052,4.065257020966802,918.4764791419435
2020-01-06,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19144.42160599213,19144.42160599213,143583.16,142865.24,14975.87,86860.05,0.2991,0.7915,7.1792,3.43,100.0,739.4827586206897,4.28363875,0.99875,34.93681933045183,0.9652211323434186,0.82,0.2991,46.96510960666364,43.03489039333636,170.36622373869295,1.4634702047946244,4.076230835695455,920.2167187155561
2020-01-07,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15164.97,87956.83,0.3125,0.8015,7.5,3.71,100.0,737.7586206896552,4.23621,0.99,31.45462838309723,0.9774088006591597,0.82,0.3125,46.86340462067856,43.13659537932144,170.2020115846217,1.4607051260916035,4.087802618717493,921.9391500296637
2020-01-08,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19750.544757626565,19750.544757626565,148129.09,147388.44,15077.87,87451.65,0.3086,0.7969,7.4065,4.0,100.0,760.5172413793103,4.309914583333333,0.9770833333333333,33.058448024352835,0.971795431914765,0.82,0.3086,46.754459715013475,43.245540284986525,170.03786638107078,1.4577598228869615,4.099965216833935,924.0096949676756
2020-01-09,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15185.39,88075.26,0.3125,0.8026,7.5,4.29,100.0,795.6896551724138,4.615,1.0,31.078610132257772,0.9787248645370978,0.82,0.3125,46.63832051011467,43.36167948988533,169.87385150075238,1.4546388054223496,4.112710926003225,926.2853384243659
2020-01-10,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19578.0371696842,19578.0371696842,146835.28,146101.1,15284.17,88648.19,0.3059,0.8078,7.3418,4.57,100.0,770.6896551724138,4.458825,0.9975,29.259522762503252,0.9850916703312386,0.82,0.3059,46.515035419487724,43.484964580512276,169.7100249323289,1.4513468010165986,4.126031557075599,927.9142345203443
2020-01-11,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15145.19,87842.1,0.3125,0.8004,7.5,4.86,100.0,751.0344827586207,3.602775,0.8270833333333333,31.81880855747587,0.9761341700488344,0.82,0.3125,46.38465473159263,43.61534526840737,169.54643961158217,1.4478887155896385,4.139918522926508,929.6618707047319
2020-01-12,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19952.478424404177,19952.478424404177,149643.59,148895.37,14921.13,86542.55,0.3118,0.7886,7.4822,5.14,100.0,748.2758620689656,3.0289583333333336,0.6979166666666667,35.94478114563974,0.961693265990261,0.82,0.3118,46.24722977153393,43.75277022846607,169.3831440398194,1.4442695979788247,4.1543629179079975,931.6616587319875
2020-01-13,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19790.186316124848,19790.186316124848,148426.4,147684.27,15160.82,87932.76,0.3092,0.8013,7.4213,5.43,100.0,756.551724137931,3.265403333333333,0.7441666666666666,31.53094314016198,0.977141699009433,0.82,0.3092,46.102812515843425,43.897187484156575,169.2201832850394,1.4404946168837485,4.169355556541107,933.8430182322899
2020-01-14,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15021.3,87123.54,0.3125,0.7939,7.5,5.71,100.0,778.7931034482759,4.394664583333333,0.9729166666666667,34.10028166684993,0.9681490141660253,0.82,0.3125,45.95145584660718,44.04854415339282,169.05760043405007,1.4365690547903605,4.184886955536172,936.2383001676079
2020-01-15,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19961.376053009513,19961.376053009513,149710.32,148961.77,15202.19,88172.7,0.3119,0.8034,7.4855,6.0,100.0,783.1034482758621,4.48144,0.9866666666666667,30.769191272211373,0.9798078305472602,0.82,0.3119,45.793214311000156,44.206785688999844,168.89543849370193,1.4324983145940215,4.200947271861126,938.4719180105219
2020-01-16,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15227.46,88319.27,0.3125,0.8048,7.5,2.0,100.0,795.344827586207,4.613,1.0,30.3039355712434,0.9814362255006481,0.82,0.3125,45.62814502684948,44.37185497315052,168.73374253039083,1.4282879290198303,4.215624401891403,940.2834547945178
2020-01-17,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,14916.95,86518.31,0.3125,0.7884,7.5,2.29,100.0,810.6896551724138,4.702,1.0,36.02184928990075,0.9614235274853473,0.82,0.3125,45.456308366958204,44.543691633041796,168.57256165526087,1.4239435633048727,4.228904435686759,941.6184114574569
2020-01-18,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19451.08304818745,19451.08304818745,145883.12,145153.7,14921.97,86547.43,0.3039,0.7886,7.2942,2.57,100.0,810.344827586207,4.696083333333333,0.9991666666666666,35.92941899871066,0.9617470335045127,0.82,0.3039,45.27776822271481,44.72223177728519,168.41195045093446,1.4194710064655467,4.242676849510705,942.8173659942928
2020-01-19,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15204.46,88185.87,0.3125,0.8036,7.5,2.86,100.0,808.448275862069,3.46986,0.74,30.72734590298625,0.9799542893395481,0.82,0.3125,45.09259185890536,44.90740814109464,168.25196954658577,1.4148761521277056,4.25692986534817,944.043953166676
2020-01-20,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19915.869783821887,19915.869783821887,149369.02,148622.17,14948.96,86703.97,0.3112,0.7901,7.4685,3.14,100.0,816.7241379310345,3.95736875,0.8354166666666667,35.4324159465896,0.9634865441869364,0.82,0.3112,44.90084949646149,45.09915050353851,168.0926852937498,1.4101649730011885,4.271651284642515,945.4334845920868
2020-01-21,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19666.23150659237,19666.23150659237,147496.74,146759.26,14865.52,86220.02,0.3073,0.7856,7.3748,3.43,100.0,814.1379310344828,4.5626325,0.96625,36.96893164570092,0.9581087392400468,0.82,0.3073,44.70261379128872,45.29738620871128,167.93416866290568,1.405343493627267,4.286828543440164,946.7375720731765
2020-01-22,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19646.921824553916,19646.921824553916,147351.91,146615.15,15121.28,87703.42,0.307,0.7992,7.3676,3.71,100.0,810.344827586207,4.7,1.0,32.25912672484557,0.9745930564630405,0.82,0.307,44.497959351586914,45.502040648413086,167.776493589525,1.4004177650979746,4.302448763741501,948.0672101778316
2020-01-23,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,20000.0,20000.0,150000.0,149250.0,15105.34,87610.97,0.3125,0.7983,7.5,4.0,100.0,822.7586206896552,3.527303333333334,0.7391666666666667,32.55262863617864,0.9735657997733748,0.82,0.3125,44.28696239832497,45.71303760167503,167.6197350375944,1.3953938442569205,4.318498792074853,949.6242232427404
2020-01-24,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19499.49210642489,19499.49210642489,146246.19,145514.96,14857.88,86175.7,0.3047,0.7852,7.3123,4.29,100.0,833.448275862069,4.743362499999999,0.98125,37.10956995562209,0.9576165051553227,0.82,0.3047,44.06970063084077,45.93029936915923,167.46396704119684,1.3902777786515699,4.334965220249518,951.1964603334441
2020-01-25,Khavda Renewable Energy Park,SIMULATED,SIMULATED_PVLIB,19154.66872394195,19154.66872394195,143660.02,142941.72,14760.64,85611.71,0.2993,0.7801,7.183,4.57,100.0,809.1379310344828,4.6578025,0.9925,38.900160657832075,0.9513494376975877,0.82,0.2993,43.84625329595442,46.15374670404558,167.30926099050066,1.3850755968736084,4.351834388860196,952.3920260355945
