date,site_name,solar_generation_mw,wind_generation_mw,total_generation_mw,solar_revenue_inr,wind_revenue_inr,daily_revenue_inr,revenue_at_risk_inr,daily_revenue_lakhs,daily_revenue_crores
2021-07-14,Khavda Renewable Energy Park,6.948115298939547,2.88374965047414,9.831864949413688,31266.52,12976.87,44243.39,2212.17,0.44,0.0
2021-07-15,Khavda Renewable Energy Park,5.587242556185565,0.0,5.587242556185565,25142.59,0.0,25142.59,1257.13,0.25,0.0
2021-07-16,Khavda Renewable Energy Park,8.454929662585833,0.0236610816735246,8.478590744259359,38047.18,106.47,38153.66,1907.68,0.38,0.0
2021-07-17,Khavda Renewable Energy Park,1.8933097200473576,4.506910148153831,6.400219868201189,8519.89,20281.1,28800.99,1440.05,0.29,0.0
2021-07-18,Khavda Renewable Energy Park,3.492068478223661,17.1359993423089,20.62806782053256,15714.31,77112.0,92826.31,4641.32,0.93,0.01
2021-07-19,Khavda Renewable Energy Park,0.2023581645491551,45.73769345363867,45.94005161818782,910.61,205819.62,206730.23,10336.51,2.07,0.02
2021-07-20,Khavda Renewable Energy Park,1.2001214947624663,76.24212294572669,77.44224444048916,5400.55,343089.55,348490.1,17424.5,3.48,0.03
2021-07-21,Khavda Renewable Energy Park,68.06948777457985,72.48776781877812,140.55725559335798,306312.69,326194.96,632507.65,31625.38,6.33,0.06
2021-07-22,Khavda Renewable Energy Park,1.5317102468665529,12.27196849794552,13.803678744812071,6892.7,55223.86,62116.55,3105.83,0.62,0.01
2021-07-23,Khavda Renewable Energy Park,6.966388131658792,5.259566002402058,12.22595413406085,31348.75,23668.05,55016.79,2750.84,0.55,0.01
2021-07-24,Khavda Renewable Energy Park,0.005094952713636,5.654711589981242,5.659806542694878,22.93,25446.2,25469.13,1273.46,0.25,0.0
2021-07-25,Khavda Renewable Energy Park,0.2661249686956016,12.578430011049768,12.84455497974537,1197.56,56602.94,57800.5,2890.02,0.58,0.01
2021-07-26,Khavda Renewable Energy Park,0.029223498112662,42.590305297546976,42.61952879565964,131.51,191656.37,191787.88,9589.39,1.92,0.02
2021-07-27,Khavda Renewable Energy Park,0.0013240369008795,57.723297181154905,57.72462121805579,5.96,259754.84,259760.8,12988.04,2.6,0.03
2021-07-28,Khavda Renewable Energy Park,0.0018985031966056,77.1952968148296,77.1971953180262,8.54,347378.84,347387.38,17369.37,3.47,0.03
2021-07-29,Khavda Renewable Energy Park,0.0056937443309989,83.23030727134817,83.23600101567916,25.62,374536.38,374562.0,18728.1,3.75,0.04
2021-07-30,Khavda Renewable Energy Park,4.480215154260592,59.995807081486056,64.47602223574665,20160.97,269981.13,290142.1,14507.1,2.9,0.03
2021-07-31,Khavda Renewable Energy Park,7.299476258698724,75.53154051964827,82.83101677834699,32847.64,339891.93,372739.58,18636.98,3.73,0.04
2021-08-01,Khavda Renewable Energy Park,0.2751707459449619,64.26735654037282,64.54252728631778,1238.27,289203.1,290441.37,14522.07,2.9,0.03
2021-08-02,Khavda Renewable Energy Park,0.0776076786500181,31.757888285275683,31.835495963925705,349.23,142910.5,143259.73,7162.99,1.43,0.01
2021-08-03,Khavda Renewable Energy Park,0.0232135954321728,18.027867325294046,18.051080920726218,104.46,81125.4,81229.86,4061.49,0.81,0.01
2021-08-04,Khavda Renewable Energy Park,3.846839560342472,13.939521776580644,17.786361336923115,17310.78,62727.85,80038.63,4001.93,0.8,0.01
2021-08-05,Khavda Renewable Energy Park,14.288553408376735,6.170431601432806,20.458985009809545,64298.49,27766.94,92065.43,920.65,0.92,0.01
2021-08-06,Khavda Renewable Energy Park,2.5390295884890866,3.1374371433940103,5.676466731883097,11425.63,14118.47,25544.1,1277.2,0.26,0.0
2021-08-07,Khavda Renewable Energy Park,13.727217742838988,2.1625034475464564,15.889721190385444,61772.48,9731.27,71503.75,715.04,0.72,0.01
2021-08-08,Khavda Renewable Energy Park,40.55205957024382,2.3057004180815537,42.85775998832538,182484.27,10375.65,192859.92,1928.6,1.93,0.02
2021-08-09,Khavda Renewable Energy Park,16.05354523276504,3.587234603267294,19.640779836032333,72240.95,16142.56,88383.51,883.84,0.88,0.01
2021-08-10,Khavda Renewable Energy Park,42.167700839231465,5.598031357800093,47.76573219703156,189754.65,25191.14,214945.79,2149.46,2.15,0.02
2021-08-11,Khavda Renewable Energy Park,10.705094217854134,11.36268663598204,22.06778085383617,48172.92,51132.09,99305.01,993.05,0.99,0.01
2021-08-12,Khavda Renewable Energy Park,1.9949822678116989,7.369937570282668,9.364919838094368,8977.42,33164.72,42142.14,2107.11,0.42,0.0
2021-08-13,Khavda Renewable Energy Park,12.030211381734183,7.185618497810849,19.215829879545037,54135.95,32335.28,86471.23,864.71,0.86,0.01
2021-08-14,Khavda Renewable Energy Park,39.05218982861267,18.051103747559992,57.10329357617266,175734.85,81229.97,256964.82,2569.65,2.57,0.03
2021-08-15,Khavda Renewable Energy Park,35.96697092849747,10.245361615521013,46.21233254401848,161851.37,46104.13,207955.5,2079.55,2.08,0.02
2021-08-16,Khavda Renewable Energy Park,41.8963260461147,1.2420507901288873,43.13837683624359,188533.47,5589.23,194122.7,1941.23,1.94,0.02
2021-08-17,Khavda Renewable Energy Park,37.71411326787436,1.3294548193077482,39.04356808718211,169713.51,5982.55,175696.06,1756.96,1.76,0.02
2021-08-18,Khavda Renewable Energy Park,33.36194029897356,4.88673877374104,38.248679072714594,150128.73,21990.32,172119.06,1721.19,1.72,0.02
2021-08-19,Khavda Renewable Energy Park,41.27288872757008,9.087681467241792,50.36057019481188,185728.0,40894.57,226622.57,2266.23,2.27,0.02
2021-08-20,Khavda Renewable Energy Park,40.27874387798718,5.469397538379758,45.74814141636694,181254.35,24612.29,205866.64,2058.67,2.06,0.02
2021-08-21,Khavda Renewable Energy Park,2.8825812882308166,2.265372874561775,5.147954162792592,12971.62,10194.18,23165.79,1158.29,0.23,0.0
2021-08-22,Khavda Renewable Energy Park,1.3814648102218088,2.104511725503816,3.4859765357256247,6216.59,9470.3,15686.89,784.34,0.16,0.0
2021-08-23,Khavda Renewable Energy Park,42.81269799789065,4.406359096108015,47.21905709399866,192657.14,19828.62,212485.76,2124.86,2.12,0.02
2021-08-24,Khavda Renewable Energy Park,27.783837068592515,13.250404850367412,41.03424191895993,125027.27,59626.82,184654.09,1846.54,1.85,0.02
2021-08-25,Khavda Renewable Energy Park,11.672768496624784,27.12118934316584,38.79395783979062,52527.46,122045.35,174572.81,1745.73,1.75,0.02
2021-08-26,Khavda Renewable Energy Park,2.619995256653296,29.056682261559192,31.67667751821249,11789.98,130755.07,142545.05,7127.25,1.43,0.01
2021-08-27,Khavda Renewable Energy Park,14.88021264173169,10.19043603683761,25.0706486785693,66960.96,45856.96,112817.92,1128.18,1.13,0.01
2021-08-28,Khavda Renewable Energy Park,53.60638817939352,2.1109715325749643,55.71735971196848,241228.75,9499.37,250728.12,2507.28,2.51,0.03
2021-08-29,Khavda Renewable Energy Park,30.877147105289527,0.8230981356475426,31.70024524093707,138947.16,3703.94,142651.1,1426.51,1.43,0.01
2021-08-30,Khavda Renewable Energy Park,7.019566971056996,0.0,7.019566971056996,31588.05,0.0,31588.05,1579.4,0.32,0.0
2021-08-31,Khavda Renewable Energy Park,1.072244448985309,0.1323254467290056,1.2045698957143145,4825.1,595.46,5420.56,271.03,0.05,0.0
2021-09-01,Khavda Renewable Energy Park,0.0075320559515575,0.0171112598865223,0.0246433158380798,33.89,77.0,110.89,5.54,0.0,0.0
2021-09-02,Khavda Renewable Energy Park,0.1301066808676557,0.0,0.1301066808676557,585.48,0.0,585.48,29.27,0.01,0.0
2021-09-03,Khavda Renewable Energy Park,8.309053655177665,0.0,8.309053655177665,37390.74,0.0,37390.74,373.91,0.37,0.0
2021-09-04,Khavda Renewable Energy Park,10.90135122460085,0.3742470245905385,11.275598249191388,49056.08,1684.11,50740.19,507.4,0.51,0.01
2021-09-05,Khavda Renewable Energy Park,7.586864257062516,0.6156573312531858,8.202521588315703,34140.89,2770.46,36911.35,369.11,0.37,0.0
2021-09-06,Khavda Renewable Energy Park,5.953239409267934,0.0,5.953239409267934,26789.58,0.0,26789.58,1339.48,0.27,0.0
2021-09-07,Khavda Renewable Energy Park,4.9908974814624125,1.7505785388873834e-06,4.990899232040952,22459.04,0.01,22459.05,1122.95,0.22,0.0
2021-09-08,Khavda Renewable Energy Park,0.0835350027438399,0.0,0.0835350027438399,375.91,0.0,375.91,18.8,0.0,0.0
2021-09-09,Khavda Renewable Energy Park,0.0014641466255531,0.1457791549196323,0.1472433015451855,6.59,656.01,662.59,33.13,0.01,0.0
2021-09-10,Khavda Renewable Energy Park,0.8441929641937345,1.5649474403521215,2.409140404545856,3798.87,7042.26,10841.13,542.06,0.11,0.0
2021-09-11,Khavda Renewable Energy Park,0.0,0.2351087997695001,0.2351087997695001,0.0,1057.99,1057.99,52.9,0.01,0.0
2021-09-12,Khavda Renewable Energy Park,1.3395408995688245,0.6299671106764361,1.9695080102452605,6027.93,2834.85,8862.79,443.14,0.09,0.0
2021-09-13,Khavda Renewable Energy Park,0.1866545242739086,0.2556791551802816,0.4423336794541902,839.95,1150.56,1990.5,99.52,0.02,0.0
2021-09-14,Khavda Renewable Energy Park,2.9018178343621206,0.0,2.9018178343621206,13058.18,0.0,13058.18,652.91,0.13,0.0
2021-09-15,Khavda Renewable Energy Park,9.949553985107206,0.0,9.949553985107206,44772.99,0.0,44772.99,2238.65,0.45,0.0
2021-09-16,Khavda Renewable Energy Park,57.56462707944943,1.4123862814577196e-05,57.56464120331224,259040.82,0.06,259040.89,2590.41,2.59,0.03
2021-09-17,Khavda Renewable Energy Park,65.9423043244689,0.0484149823440658,65.99071930681298,296740.37,217.87,296958.24,2969.58,2.97,0.03
2021-09-18,Khavda Renewable Energy Park,1.51449750952042,0.096171949376865,1.6106694588972852,6815.24,432.77,7248.01,362.4,0.07,0.0
2021-09-19,Khavda Renewable Energy Park,10.33120894437289,0.0253222239919403,10.35653116836483,46490.44,113.95,46604.39,2330.22,0.47,0.0
2021-09-20,Khavda Renewable Energy Park,35.33323315580284,1.6335362516632486,36.96676940746609,158999.55,7350.91,166350.46,1663.5,1.66,0.02
2021-09-21,Khavda Renewable Energy Park,22.47188652823056,5.311294977443175,27.78318150567373,101123.49,23900.83,125024.32,1250.24,1.25,0.01
2021-09-22,Khavda Renewable Energy Park,20.299705329737264,1.103540767807302,21.403246097544567,91348.67,4965.93,96314.61,963.15,0.96,0.01
2021-09-23,Khavda Renewable Energy Park,0.8113231137577981,0.184044921397334,0.995368035155132,3650.95,828.2,4479.16,223.96,0.04,0.0
2021-09-24,Khavda Renewable Energy Park,1.784844773207028,0.0,1.784844773207028,8031.8,0.0,8031.8,401.59,0.08,0.0
2021-09-25,Khavda Renewable Energy Park,9.002734270753185,0.0,9.002734270753185,40512.3,0.0,40512.3,405.12,0.41,0.0
2021-09-26,Khavda Renewable Energy Park,19.31360171051969,0.0,19.31360171051969,86911.21,0.0,86911.21,869.11,0.87,0.01
2021-09-27,Khavda Renewable Energy Park,2.2304482665422123,0.0019945864555483,2.2324428529977607,10037.02,8.98,10045.99,502.3,0.1,0.0
2021-09-28,Khavda Renewable Energy Park,19.80365707798053,0.0,19.80365707798053,89116.46,0.0,89116.46,4455.82,0.89,0.01
2021-09-29,Khavda Renewable Energy Park,0.7018014475134133,0.1218194923920259,0.8236209399054393,3158.11,548.19,3706.29,185.31,0.04,0.0
2021-09-30,Khavda Renewable Energy Park,0.0022089653421341,7.847115954297792,7.849324919639926,9.94,35312.02,35321.96,1766.1,0.35,0.0
2021-10-01,Khavda Renewable Energy Park,19.748034975679275,0.2711692635911984,20.019204239270472,88866.16,1220.26,90086.42,900.86,0.9,0.01
2021-10-02,Khavda Renewable Energy Park,24.650478154268168,0.0001173194742499,24.650595473742417,110927.15,0.53,110927.68,1109.28,1.11,0.01
2021-10-03,Khavda Renewable Energy Park,85.65681712200872,0.1502777518789006,85.80709487388762,385455.68,676.25,386131.93,3861.32,3.86,0.04
2021-10-04,Khavda Renewable Energy Park,29.8565687127039,1.286802656742339,31.14337136944624,134354.56,5790.61,140145.17,1401.45,1.4,0.01
2021-10-05,Khavda Renewable Energy Park,76.68055269909235,0.0597107312442846,76.74026343033663,345062.49,268.7,345331.19,3453.31,3.45,0.03
2021-10-06,Khavda Renewable Energy Park,25.08809698778887,0.0,25.08809698778887,112896.44,0.0,112896.44,1128.96,1.13,0.01
2021-10-07,Khavda Renewable Energy Park,42.501030534228605,0.0,42.501030534228605,191254.64,0.0,191254.64,1912.55,1.91,0.02
2021-10-08,Khavda Renewable Energy Park,22.00499634156528,0.0,22.00499634156528,99022.48,0.0,99022.48,990.22,0.99,0.01
