Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
06-08-2026,1,00:00 - 00:15,13926.1,5032.0,4946.3,4946.3,10000.0
06-08-2026,1,00:15 - 00:30,13395.6,5336.5,4913.17,4913.17,7299.57
06-08-2026,1,00:30 - 00:45,13062.4,5671.9,4840.61,4840.61,5450.8
06-08-2026,1,00:45 - 01:00,12407.3,5950.9,5058.1,5058.1,4750.44
06-08-2026,2,01:00 - 01:15,11913.8,6557.5,5247.99,5247.99,4425.47
06-08-2026,2,01:15 - 01:30,11477.0,7444.7,4989.87,4989.87,4142.61
06-08-2026,2,01:30 - 01:45,10780.3,7961.6,4303.22,4303.22,4000.29
06-08-2026,2,01:45 - 02:00,10689.9,8400.8,4454.18,4454.18,3881.42
06-08-2026,3,02:00 - 02:15,11065.5,8997.7,4263.7,4263.7,3619.42
06-08-2026,3,02:15 - 02:30,11107.7,9313.5,4312.75,4312.75,3600.11
06-08-2026,3,02:30 - 02:45,11145.9,9590.8,4343.46,4343.46,3550.98
06-08-2026,3,02:45 - 03:00,11355.1,9421.1,4520.8,4520.8,3616.36
06-08-2026,4,03:00 - 03:15,12099.4,11225.2,5987.2,5987.2,3414.13
06-08-2026,4,03:15 - 03:30,12051.0,11616.5,5711.0,5711.0,3370.61
06-08-2026,4,03:30 - 03:45,11850.8,12093.8,5599.85,5599.85,3250.8
06-08-2026,4,03:45 - 04:00,11749.8,12486.1,5753.76,5753.76,3200.28
06-08-2026,5,04:00 - 04:15,12121.2,12841.4,5958.6,5958.6,3210.99
06-08-2026,5,04:15 - 04:30,11861.5,12898.0,5967.42,5967.42,3200.94
06-08-2026,5,04:30 - 04:45,11990.4,13022.4,5987.1,5987.1,3204.75
06-08-2026,5,04:45 - 05:00,12413.2,13017.1,6206.7,6206.7,3200.52
06-08-2026,6,05:00 - 05:15,12569.5,13563.8,6690.5,6690.5,3361.7
06-08-2026,6,05:15 - 05:30,13835.3,13608.7,7872.37,7872.37,3500.63
06-08-2026,6,05:30 - 05:45,14851.9,13409.7,8250.45,8250.45,4000.4
06-08-2026,6,05:45 - 06:00,15899.1,13466.0,9440.33,9440.33,4028.53
06-08-2026,7,06:00 - 06:15,16903.3,13230.8,10753.8,10753.8,4661.47
06-08-2026,7,06:15 - 06:30,18288.4,13527.6,11260.1,11260.1,5345.6
06-08-2026,7,06:30 - 06:45,18360.8,13787.2,11483.0,11483.0,5000.14
06-08-2026,7,06:45 - 07:00,18783.3,14244.8,11861.9,11861.9,4999.54
06-08-2026,8,07:00 - 07:15,18128.5,14021.4,11548.1,11548.1,4146.99
06-08-2026,8,07:15 - 07:30,18000.6,15183.3,11518.7,11518.7,4012.07
06-08-2026,8,07:30 - 07:45,17695.7,17523.9,11327.2,11327.2,3731.34
06-08-2026,8,07:45 - 08:00,17898.4,19973.7,11840.1,11840.1,3479.2
06-08-2026,9,08:00 - 08:15,17856.0,24206.3,12063.97,12063.97,3200.09
06-08-2026,9,08:15 - 08:30,16899.9,26453.8,11390.8,11390.8,3063.51
06-08-2026,9,08:30 - 08:45,16771.1,28782.7,11202.4,11202.4,2610.02
06-08-2026,9,08:45 - 09:00,16924.2,30500.1,11895.9,11895.9,2514.88
06-08-2026,10,09:00 - 09:15,17630.3,33053.2,12638.12,12638.12,2420.56
06-08-2026,10,09:15 - 09:30,17284.0,34001.8,12721.3,12721.3,2168.65
06-08-2026,10,09:30 - 09:45,17054.3,36917.0,13033.64,13033.64,2000.51
06-08-2026,10,09:45 - 10:00,16854.8,38590.5,13054.1,13054.1,1919.59
06-08-2026,11,10:00 - 10:15,16299.4,41332.2,13414.28,13414.28,1760.93
06-08-2026,11,10:15 - 10:30,16644.5,42026.5,14065.21,14065.21,1760.69
06-08-2026,11,10:30 - 10:45,16210.3,42876.2,14309.23,14309.23,1760.16
06-08-2026,11,10:45 - 11:00,16248.0,43089.8,13956.77,13956.77,1760.47
06-08-2026,12,11:00 - 11:15,16218.8,44067.1,14208.84,14208.84,1760.25
06-08-2026,12,11:15 - 11:30,16285.8,44764.8,14579.76,14579.76,1760.01
06-08-2026,12,11:30 - 11:45,16250.6,45405.4,14479.7,14479.7,1689.59
06-08-2026,12,11:45 - 12:00,16350.9,45764.7,14608.8,14608.8,1603.8
06-08-2026,13,12:00 - 12:15,16279.7,46206.1,14560.3,14560.3,1524.91
06-08-2026,13,12:15 - 12:30,16132.1,46632.7,14600.2,14600.2,1532.96
06-08-2026,13,12:30 - 12:45,16059.0,46841.3,14530.9,14530.9,1524.3
06-08-2026,13,12:45 - 13:00,15892.4,47176.9,14365.5,14365.5,1523.75
06-08-2026,14,13:00 - 13:15,15093.9,47765.9,13606.2,13606.2,1366.65
06-08-2026,14,13:15 - 13:30,15112.8,47807.6,13628.6,13628.6,1379.19
06-08-2026,14,13:30 - 13:45,15913.4,47308.0,14102.7,14102.7,1523.58
06-08-2026,14,13:45 - 14:00,16157.2,47531.2,14235.1,14235.1,1523.64
06-08-2026,15,14:00 - 14:15,16246.9,46935.2,14226.2,14226.2,1530.22
06-08-2026,15,14:15 - 14:30,16898.8,46248.6,14821.1,14821.1,1699.59
06-08-2026,15,14:30 - 14:45,17069.4,45143.5,14658.81,14658.81,1760.2
06-08-2026,15,14:45 - 15:00,17303.6,44173.6,14199.92,14199.92,1760.74
06-08-2026,16,15:00 - 15:15,16776.2,41903.5,13168.86,13168.86,1760.93
06-08-2026,16,15:15 - 15:30,17388.4,40793.1,12943.86,12943.86,1850.91
06-08-2026,16,15:30 - 15:45,17283.4,37932.2,12565.7,12565.7,2120.64
06-08-2026,16,15:45 - 16:00,17363.1,36425.5,11952.35,11952.35,2180.81
06-08-2026,17,16:00 - 16:15,18504.1,30558.6,11958.83,11958.83,2570.19
06-08-2026,17,16:15 - 16:30,18912.3,29559.4,11839.3,11839.3,2615.9
06-08-2026,17,16:30 - 16:45,19230.0,26513.3,11754.59,11754.59,2999.71
06-08-2026,17,16:45 - 17:00,19577.8,25331.4,11849.7,11849.7,3097.93
06-08-2026,18,17:00 - 17:15,18110.4,20912.7,10093.61,10093.61,3189.55
06-08-2026,18,17:15 - 17:30,17816.0,18890.2,9622.4,9622.4,3352.73
06-08-2026,18,17:30 - 17:45,17599.5,16681.0,9240.6,9240.6,3416.73
06-08-2026,18,17:45 - 18:00,16674.0,14805.1,8313.8,8313.8,3490.09
06-08-2026,19,18:00 - 18:15,13880.3,12032.5,5988.3,5988.3,3412.16
06-08-2026,19,18:15 - 18:30,13775.5,10642.3,5693.24,5693.24,3600.98
06-08-2026,19,18:30 - 18:45,14189.9,8037.8,5409.8,5409.8,4121.18
06-08-2026,19,18:45 - 19:00,15263.6,6392.9,5011.6,5011.6,6416.28
06-08-2026,20,19:00 - 19:15,17145.7,5494.6,5487.8,5487.8,10000.0
06-08-2026,20,19:15 - 19:30,18064.1,4537.4,4530.6,4530.6,10000.0
06-08-2026,20,19:30 - 19:45,20956.3,3655.5,3648.69,3648.69,10000.0
06-08-2026,20,19:45 - 20:00,20745.4,2846.9,2840.1,2840.1,10000.0
06-08-2026,21,20:00 - 20:15,22115.6,2727.3,2720.5,2720.5,10000.0
06-08-2026,21,20:15 - 20:30,22131.8,2507.1,2500.28,2500.28,10000.0
06-08-2026,21,20:30 - 20:45,21519.7,2444.3,2437.5,2437.5,10000.0
06-08-2026,21,20:45 - 21:00,21773.5,2185.8,2178.97,2178.97,10000.0
06-08-2026,22,21:00 - 21:15,23699.0,2547.7,2540.89,2540.89,10000.0
06-08-2026,22,21:15 - 21:30,23714.8,2417.4,2410.6,2410.6,10000.0
06-08-2026,22,21:30 - 21:45,25626.5,2466.5,2459.69,2459.69,10000.0
06-08-2026,22,21:45 - 22:00,25728.1,2456.9,2450.1,2450.1,10000.0
06-08-2026,23,22:00 - 22:15,25031.1,2582.1,2575.29,2575.29,10000.0
06-08-2026,23,22:15 - 22:30,26051.3,2592.1,2585.3,2585.3,10000.0
06-08-2026,23,22:30 - 22:45,23926.9,2621.4,2614.58,2614.58,10000.0
06-08-2026,23,22:45 - 23:00,23959.0,2740.6,2733.78,2733.78,10000.0
06-08-2026,24,23:00 - 23:15,18681.1,2909.5,2902.69,2902.69,10000.0
06-08-2026,24,23:15 - 23:30,16232.7,3173.2,3166.4,3166.4,10000.0
06-08-2026,24,23:30 - 23:45,15787.4,3458.5,3451.7,3451.7,10000.0
06-08-2026,24,23:45 - 24:00,15467.4,3733.6,3726.8,3726.8,10000.0
