datetime,date,hour,solar_generation_mw,wind_generation_mw,total_generation_mw,temperature_c,wind_speed_ms,solar_radiation_wm2,cloud_cover_pct,humidity_pct,rainfall_mm,is_forecast
2026-07-06 00:00:00,2026-07-06,0,0.0,181.21,181.21,29.5,4.79,0.0,70,77,0.0,False
2026-07-06 01:00:00,2026-07-06,1,0.0,173.38,173.38,29.3,4.72,0.0,82,77,0.0,False
2026-07-06 02:00:00,2026-07-06,2,0.0,150.25,150.25,29.1,4.5,0.0,88,78,0.0,False
2026-07-06 03:00:00,2026-07-06,3,0.0,109.53,109.53,29.0,4.05,0.0,95,80,0.0,False
2026-07-06 04:00:00,2026-07-06,4,0.0,91.19,91.19,28.8,3.81,0.0,94,81,0.0,False
2026-07-06 05:00:00,2026-07-06,5,0.0,94.09,94.09,28.9,3.85,0.0,88,82,0.0,False
2026-07-06 06:00:00,2026-07-06,6,1.59,110.35,111.94,28.8,4.06,2.0,100,83,0.0,False
2026-07-06 07:00:00,2026-07-06,7,35.68,160.49,196.17,29.3,4.6,45.0,98,81,0.0,False
2026-07-06 08:00:00,2026-07-06,8,110.21,154.29,264.5,30.1,4.54,139.0,99,76,0.0,False
2026-07-06 09:00:00,2026-07-06,9,177.6,129.27,306.87,30.9,4.28,224.0,97,72,0.0,False
2026-07-06 10:00:00,2026-07-06,10,207.73,76.93,284.66,31.7,3.6,262.0,99,69,0.0,False
2026-07-06 11:00:00,2026-07-06,11,390.88,101.62,492.5,33.5,3.95,493.0,23,61,0.0,False
2026-07-06 12:00:00,2026-07-06,12,681.86,89.05,770.91,35.5,3.78,860.0,10,53,0.0,False
2026-07-06 13:00:00,2026-07-06,13,712.78,78.87,791.65,36.6,3.63,899.0,15,49,0.0,False
2026-07-06 14:00:00,2026-07-06,14,681.07,78.22,759.29,37.2,3.62,859.0,25,47,0.0,False
2026-07-06 15:00:00,2026-07-06,15,598.61,49.6,648.21,37.6,3.11,755.0,42,44,0.0,False
2026-07-06 16:00:00,2026-07-06,16,468.58,67.71,536.29,37.6,3.45,591.0,41,43,0.0,False
2026-07-06 17:00:00,2026-07-06,17,325.07,35.43,360.5,36.8,2.78,410.0,37,43,0.0,False
2026-07-06 18:00:00,2026-07-06,18,179.19,55.56,234.75,36.0,3.23,226.0,45,46,0.0,False
2026-07-06 19:00:00,2026-07-06,19,48.36,129.27,177.63,34.8,4.28,61.0,60,51,0.0,False
2026-07-06 20:00:00,2026-07-06,20,0.79,286.47,287.26,32.8,5.58,1.0,68,60,0.0,False
2026-07-06 21:00:00,2026-07-06,21,0.0,302.15,302.15,31.3,5.68,0.0,94,67,0.0,False
2026-07-06 22:00:00,2026-07-06,22,0.0,186.95,186.95,30.5,4.84,0.0,91,71,0.0,False
2026-07-06 23:00:00,2026-07-06,23,0.0,188.11,188.11,29.9,4.85,0.0,100,72,0.0,False
2026-07-07 00:00:00,2026-07-07,0,0.0,150.03,150.03,29.6,4.42,0.0,100,74,0.0,False
2026-07-07 01:00:00,2026-07-07,1,0.0,109.54,109.54,29.2,3.98,0.0,100,77,0.0,False
2026-07-07 02:00:00,2026-07-07,2,0.0,71.35,71.35,29.1,3.45,0.0,98,78,0.0,False
2026-07-07 03:00:00,2026-07-07,3,0.0,68.29,68.29,28.8,3.4,0.0,93,80,0.0,False
2026-07-07 04:00:00,2026-07-07,4,0.0,51.76,51.76,28.7,3.1,0.0,88,81,0.0,False
2026-07-07 05:00:00,2026-07-07,5,0.0,85.89,85.89,28.9,3.67,0.0,99,83,0.0,False
2026-07-07 06:00:00,2026-07-07,6,2.26,44.61,46.87,28.9,2.95,2.0,98,83,0.0,False
2026-07-07 07:00:00,2026-07-07,7,81.39,122.4,203.79,29.6,4.13,72.0,98,80,0.0,False
2026-07-07 08:00:00,2026-07-07,8,237.39,84.49,321.88,30.8,3.65,210.0,99,73,0.0,False
2026-07-07 09:00:00,2026-07-07,9,438.6,29.84,468.44,32.5,2.58,388.0,94,65,0.0,False
2026-07-07 10:00:00,2026-07-07,10,501.9,30.54,532.44,33.4,2.6,444.0,98,61,0.0,False
2026-07-07 11:00:00,2026-07-07,11,581.03,55.35,636.38,32.9,3.17,514.0,77,63,0.0,False
2026-07-07 12:00:00,2026-07-07,12,713.29,74.5,787.79,34.8,3.5,631.0,86,56,0.0,False
2026-07-07 13:00:00,2026-07-07,13,770.94,68.29,839.23,35.8,3.4,682.0,100,52,0.0,False
2026-07-07 14:00:00,2026-07-07,14,558.42,159.39,717.81,35.6,4.51,494.0,100,53,0.0,False
2026-07-07 15:00:00,2026-07-07,15,290.52,145.0,435.52,34.6,4.37,257.0,100,55,0.0,False
2026-07-07 16:00:00,2026-07-07,16,159.39,66.5,225.89,34.5,3.37,141.0,100,56,0.0,False
2026-07-07 17:00:00,2026-07-07,17,131.13,162.59,293.72,35.0,4.54,116.0,100,54,0.0,False
2026-07-07 18:00:00,2026-07-07,18,135.65,203.17,338.82,34.0,4.89,120.0,100,58,0.0,False
2026-07-07 19:00:00,2026-07-07,19,18.09,252.86,270.95,33.0,5.26,16.0,100,60,0.0,False
2026-07-07 20:00:00,2026-07-07,20,0.0,318.4,318.4,31.8,5.68,0.0,100,65,0.0,False
2026-07-07 21:00:00,2026-07-07,21,0.0,231.84,231.84,31.1,5.11,0.0,100,69,0.0,False
2026-07-07 22:00:00,2026-07-07,22,0.0,219.8,219.8,30.6,5.02,0.0,100,71,0.0,False
2026-07-07 23:00:00,2026-07-07,23,0.0,273.59,273.59,30.1,5.4,0.0,100,75,0.0,False
2026-07-08 00:00:00,2026-07-08,0,0.0,72.44,72.44,29.8,4.73,0.0,95,77,0.0,False
2026-07-08 01:00:00,2026-07-08,1,0.0,39.98,39.98,29.5,3.88,0.0,100,78,0.0,False
