date,temperature_c,temperature_max_c,temperature_min_c,humidity_pct,rainfall_mm,wind_speed_ms,wind_speed_max_ms,cloud_cover_pct,cloud_cover_low_pct,cloud_cover_mid_pct,cloud_cover_high_pct,visibility_km,ghi_kwh_m2_day,direct_radiation_kwh_m2_day,dhi_kwh_m2_day,dni_kwh_m2_day,dni_peak_w_m2,diffuse_fraction,direct_fraction,day_of_year,et_radiation_kwh_m2,clearness_index,month,quarter,week_of_year,is_weekend,is_monsoon,site_name,latitude,longitude,data_source,load_timestamp
2026-08-20,28.983333333333334,33.8,25.7,70.91666666666667,0.2,5.282916666666667,7.08,62.583333333333336,60.666666666666664,0.0,8.166666666666666,21.710833333333333,5.139,2.24,2.899,3.0308999999999995,548.0,0.5641175325938899,0.43588246740611014,232,7.012371412128424,0.7328476627908945,8,3,34,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-21,28.770833333333332,33.8,25.3,72.5,0.6000000000000001,5.195416666666667,6.81,57.916666666666664,53.0,2.0833333333333335,5.875,20.2175,5.223,2.338,2.885,3.2204,396.4,0.5523645414512732,0.44763545854872683,233,6.9975132889071805,0.7464080144413258,8,3,34,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-22,28.995833333333334,34.0,25.5,71.66666666666667,0.1,5.51875,6.95,65.375,56.166666666666664,0.0,22.291666666666668,20.69,5.629,2.664,2.965,3.7715000000000005,437.1,0.5267365429028247,0.4732634570971754,234,6.982507741761219,0.8061573589577117,8,3,34,1,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-23,29.59583333333333,35.3,25.8,69.16666666666667,0.1,5.090833333333333,6.19,54.333333333333336,48.541666666666664,0.0,15.666666666666666,22.19833333333333,5.765,2.787,2.978,3.9724,413.4,0.5165654813529923,0.4834345186470078,235,6.967359217158002,0.8274297076291056,8,3,34,1,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-24,29.474999999999998,35.1,25.5,70.5,0.0,4.45125,6.69,49.458333333333336,49.5,0.5,0.125,21.375833333333333,5.493,2.535,2.958,3.5935,420.3,0.5385035499726926,0.4614964500273075,236,6.952072203932304,0.7901241297368851,8,3,35,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-25,29.3625,35.0,25.4,70.5,0.0,4.933333333333334,6.42,13.75,13.75,0.0,0.0,22.186666666666667,6.661,4.574,2.087,6.2454,722.1,0.31331631887104044,0.6866836811289596,237,6.9366512319560645,0.9602616272984602,8,3,35,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-26,29.450000000000003,33.2,25.5,69.79166666666667,0.0,5.244583333333334,6.84,24.208333333333332,11.833333333333334,0.16666666666666666,15.791666666666666,22.508333333333333,6.57,4.456,2.114,6.251,698.4,0.32176560121765596,0.678234398782344,238,6.9211008707960895,0.9492709501926817,8,3,35,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-27,29.370833333333334,33.2,25.3,69.54166666666667,0.0,5.475416666666667,6.87,34.375,11.875,0.125,26.333333333333332,22.700833333333332,6.348,3.959,2.389,5.5056,648.6,0.376339004410838,0.623660995589162,239,6.905425728359997,0.9192771379654845,8,3,35,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-28,29.445833333333336,33.3,25.5,69.58333333333333,0.0,5.534166666666667,7.1,19.75,8.833333333333334,0.0,12.708333333333334,22.55,6.438,4.248,2.19,5.931100000000001,688.2,0.3401677539608574,0.6598322460391427,240,6.889630449530788,0.9344477976229413,8,3,35,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-29,29.433333333333334,33.1,25.8,69.75,0.0,5.858750000000001,7.42,34.333333333333336,33.958333333333336,0.0,21.375,21.80666666666667,6.424,4.266,2.158,5.946899999999999,700.8,0.33592777085927766,0.6640722291407223,241,6.873719714790469,0.9345740394647184,8,3,35,1,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-30,29.354166666666668,33.2,25.4,69.75,0.0,6.256666666666667,7.67,68.70833333333333,46.208333333333336,0.0,50.625,21.47583333333333,6.293,3.978,2.315,5.5695,637.5,0.3678690608612744,0.6321309391387255,242,6.857698238833126,0.9176548428982474,8,3,35,1,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-08-31,29.3875,33.1,25.4,69.58333333333333,0.0,5.7475,7.36,53.083333333333336,42.666666666666664,0.0,30.708333333333332,20.95,6.18,3.737,2.443,5.2785,593.9,0.39530744336569584,0.6046925566343042,243,6.841570769167856,0.9033013336426654,8,3,36,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
2026-09-01,29.604166666666668,33.6,25.5,68.29166666666667,0.0,4.541250000000001,5.44,47.75,39.791666666666664,0.0,19.416666666666668,22.52916666666667,5.567,2.826,2.741,4.0051000000000005,455.3,0.49236572660319744,0.5076342733968026,244,6.825342084711981,0.8156367740848435,9,3,36,0,1,Khavda Renewable Energy Park,23.9,69.75,Open-Meteo-Forecast,2026-08-20T01:00:31.147672
