fold_start,train_end,forecast_start,forecast_end,horizon_days,MAE,RMSE,MAPE,R2
2021-01-01,2020-12-31,2021-01-01,2021-01-31,30,403.5,562.69,2.13,0.2513
2021-01-31,2021-01-30,2021-01-31,2021-03-02,30,504.99,625.32,3.07,0.9503
2021-03-02,2021-03-01,2021-03-02,2021-04-01,30,754.27,960.72,4.16,-0.6112
2021-04-01,2021-03-31,2021-04-01,2021-05-01,30,583.91,779.81,3.26,0.05
2021-05-01,2021-04-30,2021-05-01,2021-05-31,30,760.96,922.92,8.43,0.957
2021-05-31,2021-05-30,2021-05-31,2021-06-30,30,850.42,1003.41,4.96,0.8875
2021-06-30,2021-06-29,2021-06-30,2021-07-30,30,805.51,1070.73,84.7,0.9811
2021-07-30,2021-07-29,2021-07-30,2021-08-29,30,717.41,843.77,23.3,0.9834
2021-08-29,2021-08-28,2021-08-29,2021-09-28,30,887.07,1202.76,42.37,0.9687
2021-09-28,2021-09-27,2021-09-28,2021-10-28,30,497.88,591.76,4.81,0.9884
2021-10-28,2021-10-27,2021-10-28,2021-11-27,30,701.7,971.04,4.17,0.8862
2021-11-27,2021-11-26,2021-11-27,2021-12-27,30,484.24,613.11,3.85,0.981
2021-12-27,2021-12-26,2021-12-27,2022-01-26,30,997.58,1546.45,9.63,0.8617
2022-01-26,2022-01-25,2022-01-26,2022-02-25,30,474.08,542.36,2.44,-0.1667
2022-02-25,2022-02-24,2022-02-25,2022-03-27,30,708.55,917.98,4.04,0.3403
2022-03-27,2022-03-26,2022-03-27,2022-04-26,30,807.32,1035.61,5.07,0.7046
2022-04-26,2022-04-25,2022-04-26,2022-05-26,30,682.88,853.2,3.79,-0.3097
2022-05-26,2022-05-25,2022-05-26,2022-06-25,30,571.14,692.73,3.08,0.7176
2022-06-25,2022-06-24,2022-06-25,2022-07-25,30,697.35,890.22,3412568054261.93,0.9767
2022-07-25,2022-07-24,2022-07-25,2022-08-24,30,598.42,773.06,2846215109068.58,0.9726
2022-08-24,2022-08-23,2022-08-24,2022-09-23,30,527.96,668.46,28.08,0.9909
2022-09-23,2022-09-22,2022-09-23,2022-10-23,30,602.77,747.31,4.24,0.926
2022-10-23,2022-10-22,2022-10-23,2022-11-22,30,542.97,636.24,2.87,0.8635
2022-11-22,2022-11-21,2022-11-22,2022-12-22,30,636.32,906.61,4.5,0.921
2022-12-22,2022-12-21,2022-12-22,2023-01-21,30,460.76,541.54,2.45,0.8891
2023-01-21,2023-01-20,2023-01-21,2023-02-20,30,413.1,521.63,2.16,0.2078
2023-02-20,2023-02-19,2023-02-20,2023-03-22,30,722.89,861.11,4.94,0.9518
2023-03-22,2023-03-21,2023-03-22,2023-04-21,30,677.13,790.22,4.07,0.8486
2023-04-21,2023-04-20,2023-04-21,2023-05-21,30,610.82,815.71,3.72,0.8546
2023-05-21,2023-05-20,2023-05-21,2023-06-20,30,497.99,606.97,503925882981.44,0.992
2023-06-20,2023-06-19,2023-06-20,2023-07-20,30,480.86,704.87,541005528779.1,0.9913
2023-07-20,2023-07-19,2023-07-20,2023-08-19,30,552.96,862.16,62.84,0.9841
2023-08-19,2023-08-18,2023-08-19,2023-09-18,30,440.31,551.58,10.58,0.9925
2023-09-18,2023-09-17,2023-09-18,2023-10-18,30,576.22,758.92,278676350913.51,0.9805
2023-10-18,2023-10-17,2023-10-18,2023-11-17,30,614.09,738.57,13.62,0.9537
2023-11-17,2023-11-16,2023-11-17,2023-12-17,30,556.25,810.81,3.39,0.9423
2023-12-17,2023-12-16,2023-12-17,2024-01-16,30,456.32,544.56,27.35,0.991
2024-01-16,2024-01-15,2024-01-16,2024-02-15,30,507.0,652.18,6.2,0.9891
2024-02-15,2024-02-14,2024-02-15,2024-03-16,30,709.65,916.65,4.11,0.8874
2024-03-16,2024-03-15,2024-03-16,2024-04-15,30,549.49,705.09,29.32,0.9878
2024-04-15,2024-04-14,2024-04-15,2024-05-15,30,596.85,771.77,10.25,0.9839
2024-05-15,2024-05-14,2024-05-15,2024-06-14,30,552.13,653.77,2.96,0.5087
2024-06-14,2024-06-13,2024-06-14,2024-07-14,30,518.82,651.86,8.81,0.9919
2024-07-14,2024-07-13,2024-07-14,2024-08-13,30,234.62,366.38,398800989836.16,0.9945
2024-08-13,2024-08-12,2024-08-13,2024-09-12,30,386.83,662.89,328315058556.24,0.9933
2024-09-12,2024-09-11,2024-09-12,2024-10-12,30,440.53,531.65,2.72,0.9722
2024-10-12,2024-10-11,2024-10-12,2024-11-11,30,751.73,873.04,9.01,0.9728
2024-11-11,2024-11-10,2024-11-11,2024-12-11,30,549.16,639.24,2.97,0.8839
2024-12-11,2024-12-10,2024-12-11,2025-01-10,30,540.43,668.47,2.92,0.6797
2025-01-10,2025-01-09,2025-01-10,2025-02-09,30,560.2,738.96,2.93,-0.664
2025-02-09,2025-02-08,2025-02-09,2025-03-11,30,654.96,862.75,5.68,0.9739
2025-03-11,2025-03-10,2025-03-11,2025-04-10,30,679.14,855.95,3.96,0.6253
2025-04-10,2025-04-09,2025-04-10,2025-05-10,30,618.87,777.81,3.54,0.0011
2025-05-10,2025-05-09,2025-05-10,2025-06-09,30,562.29,730.74,3.2,0.3933
2025-06-09,2025-06-08,2025-06-09,2025-07-09,30,244.32,310.64,432378743569.04,0.9983
2025-07-09,2025-07-08,2025-07-09,2025-08-08,30,487.3,645.92,53.11,0.9915
2025-08-08,2025-08-07,2025-08-08,2025-09-07,30,442.85,576.84,323704350852.68,0.9923
