date,solar_generation_mw,wind_generation_mw,total_generation_mw,dam_price_rs_mwh,dam_price_rs_kwh,rtm_price_rs_mwh,rtm_price_rs_kwh,revenue_inr,solar_revenue_inr,wind_revenue_inr,revenue_lakhs,revenue_crores,month,year
2021-06-23,132.5559125572088,5.557060185185184,138.112972742394,5380.18,5.38,4701.83,4.7,743072.65,713174.67,29897.98,7.4307,0.074307,2021-06,2021
2021-06-24,128.5644241317436,15.363511659807951,143.92793579155156,4436.63,4.44,4266.95,4.27,638555.0,570392.78,68162.22,6.3856,0.063855,2021-06,2021
2021-06-25,116.58096944894396,17.28186117969822,133.8628306286422,5709.4,5.71,6094.22,6.09,764276.45,665607.39,98669.06,7.6428,0.076428,2021-06,2021
2021-06-26,109.8044295884448,10.116918518518522,119.92134810696332,4322.31,4.32,4434.72,4.43,518337.24,474608.78,43728.46,5.1834,0.051834,2021-06,2021
2021-06-27,126.98664572087998,2.19153988340192,129.1781856042819,4638.36,4.64,4618.57,4.62,599174.93,589009.78,10165.15,5.9917,0.059917,2021-06,2021
2021-06-28,91.7902122653736,3.8415999999999983,95.6318122653736,5019.74,5.02,5343.34,5.34,480046.83,460763.0,19283.83,4.8005,0.048005,2021-06,2021
2021-06-29,103.5367447014912,4.992391117969823,108.529135819461,6770.89,6.77,7307.67,7.31,734838.84,701035.91,33802.93,7.3484,0.073484,2021-06,2021
2021-06-30,140.10427552732602,32.59866968449931,172.70294521182535,5939.54,5.94,6426.87,6.43,1025776.05,832154.95,193621.1,10.2578,0.102578,2021-06,2021
2021-07-01,77.122077778438,67.45814900548699,144.580226783925,3926.0,3.93,3834.76,3.83,567621.97,302781.28,264840.69,5.6762,0.056762,2021-07,2021
2021-07-02,72.81224499281039,43.067318518518526,115.87956351132893,3657.28,3.66,3832.42,3.83,423804.01,266294.77,157509.24,4.238,0.04238,2021-07,2021
2021-07-03,110.53683163775996,25.56498518518519,136.10181682294515,8997.45,9.0,8218.52,8.22,1224569.29,994549.62,230019.68,12.2457,0.122457,2021-07,2021
2021-07-04,102.334985220468,7.4318932784636464,109.76687849893166,3159.64,3.16,3632.31,3.63,346823.82,323341.71,23482.11,3.4682,0.034682,2021-07,2021
2021-07-05,116.3961238519024,3.31851851851852,119.7146423704209,3267.45,3.27,3408.02,3.41,391161.61,380318.51,10843.09,3.9116,0.039116,2021-07,2021
2021-07-06,118.719169031232,4.416948148148145,123.13611717938016,3889.4,3.89,3862.23,3.86,478925.61,461746.34,17179.28,4.7893,0.047893,2021-07,2021
2021-07-07,139.8394503779328,10.116918518518522,149.95636889645132,3980.42,3.98,3807.05,3.81,596889.33,556619.75,40269.58,5.9689,0.059689,2021-07,2021
2021-07-08,73.61084366078522,17.28186117969822,90.89270484048345,3811.76,3.81,3974.45,3.97,346461.18,280586.87,65874.31,3.4646,0.034646,2021-07,2021
2021-07-09,50.076706223174405,6.10031851851852,56.177024741692925,3834.09,3.83,3837.75,3.84,215387.77,191998.6,23389.17,2.1539,0.021539,2021-07,2021
2021-07-10,81.04172312653121,0.5034315500685874,81.5451546765998,3168.86,3.17,3267.1,3.27,258405.18,256809.87,1595.3,2.5841,0.025841,2021-07,2021
