fold,test_start,test_end,train_size,test_size,MAE,RMSE,MAPE,R2
1,2020-07-01,2020-07-31,182,30,473.13,765.93,8016.24,0.9409
2,2020-07-31,2020-08-30,212,30,225.96,326.94,1267326100679.74,0.9778
3,2020-08-30,2020-09-29,242,30,125.15,152.57,7.43,0.9975
4,2020-09-29,2020-10-29,272,30,134.76,156.32,2.12,0.9982
5,2020-10-29,2020-11-28,302,30,79.14,98.0,0.81,0.9912
6,2020-11-28,2020-12-28,332,30,88.27,133.5,1.23,0.9958
7,2020-12-28,2021-01-27,362,30,106.07,126.95,1.13,0.9873
8,2021-01-27,2021-02-26,392,30,77.15,95.32,0.83,0.9986
9,2021-02-26,2021-03-28,422,30,118.8,148.3,1.02,0.9852
10,2021-03-28,2021-04-27,452,30,109.21,143.72,0.91,0.992
11,2021-04-27,2021-05-27,482,30,104.17,134.55,1.82,0.9987
12,2021-05-27,2021-06-26,512,30,131.05,155.19,1.58,0.9971
13,2021-06-26,2021-07-26,542,30,107.25,133.28,13.41,0.9981
14,2021-07-26,2021-08-25,572,30,95.51,128.06,22.81,0.998
15,2021-08-25,2021-09-24,602,30,80.81,104.62,8.53,0.9987
16,2021-09-24,2021-10-24,632,30,74.2,88.57,2.8,0.9995
17,2021-10-24,2021-11-23,662,30,71.6,93.88,0.96,0.9987
18,2021-11-23,2021-12-23,692,30,70.72,85.54,1.15,0.9985
19,2021-12-23,2022-01-22,722,30,81.02,94.32,1.46,0.9989
20,2022-01-22,2022-02-21,752,30,59.09,79.62,0.55,0.9946
21,2022-02-21,2022-03-23,782,30,58.98,89.52,0.56,0.9977
22,2022-03-23,2022-04-22,812,30,64.76,84.12,0.82,0.9994
23,2022-04-22,2022-05-22,842,30,92.09,123.64,0.7,0.9727
24,2022-05-22,2022-06-21,872,30,120.88,191.68,1.06,0.9949
25,2022-06-21,2022-07-21,902,30,55.96,84.88,29048083626.1,0.9996
26,2022-07-21,2022-08-20,932,30,47.82,67.18,212243048525.81,0.9978
27,2022-08-20,2022-09-19,962,30,65.29,81.91,6.98,0.9995
28,2022-09-19,2022-10-19,992,30,61.51,79.52,0.72,0.9991
29,2022-10-19,2022-11-18,1022,30,46.8,69.16,0.51,0.9986
30,2022-11-18,2022-12-18,1052,30,59.8,72.89,0.74,0.9976
31,2022-12-18,2023-01-17,1082,14,42.22,49.21,0.71,0.9996
32,2023-12-13,2024-01-12,1096,11,72.85,80.25,0.81,0.9931
33,2024-01-12,2024-02-11,1107,30,42.81,54.08,1.47,0.9997
34,2024-02-11,2024-03-12,1137,30,60.75,73.62,0.9,0.9996
35,2024-03-12,2024-04-11,1167,30,42.72,52.11,1.93,0.9999
36,2024-04-11,2024-05-11,1197,30,63.48,92.0,3.16,0.9996
37,2024-05-11,2024-06-10,1227,30,49.29,67.88,0.4,0.9969
38,2024-06-10,2024-07-10,1257,30,51.84,77.59,2.15,0.9997
39,2024-07-10,2024-08-09,1287,30,34.04,45.41,45859797803.46,0.9994
40,2024-08-09,2024-09-08,1317,30,37.17,46.53,190759881333.53,0.9997
41,2024-09-08,2024-10-08,1347,30,66.91,85.34,1.05,0.9991
42,2024-10-08,2024-11-07,1377,30,71.83,98.35,1.8,0.999
43,2024-11-07,2024-12-07,1407,30,38.01,48.75,0.49,0.999
44,2024-12-07,2025-01-06,1437,30,54.38,69.46,0.73,0.9979
45,2025-01-06,2025-02-05,1467,30,45.87,67.0,0.54,0.9966
46,2025-02-05,2025-03-07,1497,30,57.63,72.7,1.49,0.9996
47,2025-03-07,2025-04-06,1527,30,39.34,53.45,0.36,0.9993
48,2025-04-06,2025-05-06,1557,30,44.39,65.84,0.42,0.9984
49,2025-05-06,2025-06-05,1587,30,63.76,78.04,0.61,0.9988
50,2025-06-05,2025-07-05,1617,30,44.19,65.17,30554332754.48,0.9998
51,2025-07-05,2025-08-04,1647,30,47.87,66.02,7.75,0.9994
52,2025-08-04,2025-09-03,1677,30,49.04,69.71,6358564699.43,0.9992
53,2025-09-03,2025-10-03,1707,30,45.43,56.87,44959904367.52,0.9997
54,2025-10-03,2025-11-02,1737,30,33.64,47.07,4.82,0.9999
55,2025-11-02,2025-12-02,1767,30,41.29,62.1,0.5,0.9981
56,2025-12-02,2026-01-01,1797,30,42.19,51.04,0.63,0.9992
57,2026-01-01,2026-01-31,1827,30,30.85,38.43,0.46,0.9997
58,2026-01-31,2026-03-02,1857,30,49.57,66.03,0.53,0.999
59,2026-03-02,2026-04-01,1887,30,68.75,103.61,1.14,0.9992
60,2026-04-01,2026-05-01,1917,30,41.36,54.8,0.97,0.9998
61,2026-05-01,2026-05-31,1947,30,34.97,51.15,0.31,0.9982
62,2026-05-31,2026-06-30,1977,30,55.2,66.4,0.57,0.9989
63,2026-06-30,2026-07-30,2007,30,37.89,47.87,5428495802.9,0.9998
64,2026-07-30,2026-08-02,2037,3,10.41,10.89,93.24,0.9996
