feature,importance
capacity_factor,0.41112337
cloud_cover_pct,0.39110482
effective_irradiance,0.102659136
direct_radiation_kwh_m2_day,0.050733846
clearness_index,0.018347703
cloud_factor,0.016949518
ghi_kwh_m2_day,0.0052067665
wind_speed_ms,0.00094585505
cell_temperature_c,0.00046432327
temperature_min_c,0.00041167976
month,0.0003987649
cloud_cover_high_pct,0.0002456559
temperature_c,0.00023779857
day_of_year,0.00021104875
is_monsoon,0.00018230722
temperature_factor,9.033904e-05
cloud_cover_low_pct,8.8841894e-05
cloud_cover_mid_pct,8.84365e-05
dni_kwh_m2_day,6.73498e-05
h_mean_7d,6.306005e-05
h_max_7d,6.29649e-05
temperature_max_c,5.3699685e-05
diffuse_fraction,5.173849e-05
direct_fraction,4.234987e-05
h_median_7d,3.2738342e-05
dhi_kwh_m2_day,3.0786094e-05
h_mean_30d,2.7493299e-05
humidity_pct,2.5440508e-05
week_of_year,1.9063073e-05
is_weekend,1.8407782e-05
rainfall_mm,1.4686524e-05
visibility_km,0.0
performance_ratio,0.0
